V1;V2;V3;V4
7.9.9.9.1.13.13;  HONORARIOS PERICIAIS - OUTROS         ;      218.210.281,34 ;D
7.9.9.9.1.13.14;  HONOR.DE TRADUTORES E INTERPRETES     ;          767.706,50 ;D
7.9.9.9.1.13.15;  HON.TRAD.INTERPR.-INTERPRETACAO EM    ;          769.083,46 ;D
7.9.9.9.1.13.16;  HON.AUX.JUIZADOS ESPECIAIS FED. -     ;        2.683.367,54 ;D
7.9.9.9.1.13.17;  HON.AUXILIARES JUIZADOS ESPEC.FED.    ;      348.467.662,17 ;D
7.9.9.9.1.17.01;  CONTROLE CREDITO EMPEN.LIQUIDADO -    ;  719.325.804.253,44 ;D
7.9.9.9.1.18.00;   CONTROLE DE ESTOQUE EM PROCESSO D    ;       42.903.408,45 ;D
7.9.9.9.1.19.00;  CONTROLE DE DIARIAS                   ;        7.225.242,10 ;D
7.9.9.9.1.20.00;  CONTROLE DE PASSAGENS                 ;        1.579.129,77 ;D
7.9.9.9.1.21.00;  ADIANTAMENTOS CONCEDIDOS              ;      705.637.625,05 ;D
7.9.9.9.1.22.00;  CONTROLE EMISSAO TITULOS DIVIDA IN    ;8.145.079.430.025,22 ;D
7.9.9.9.1.23.00;  CONTROLE EMISSAO TITULOS DA DIV.AG    ;      666.998.287,53 ;D
7.9.9.9.1.24.00;  CONTROLE REGISTRO SPIUNET             ;   22.992.041.562,05 ;D
7.9.9.9.1.26.00;  CONTROLES DE PRECATORIOS EM TRANSI    ;                0,00 ; 
7.9.9.9.1.27.01;   VALORES PROGRAMADOS POR EXERCICIO    ;   93.320.060.816,89 ;D
7.9.9.9.1.27.02;  VALORES EMPENHADOS POR EXERCICIO -    ;    1.300.792.236,01 ;D
7.9.9.9.1.27.04;  VALORES DEVOLVIDOS PARA CONTA UNIC    ;        9.869.773,09 ;D
7.9.9.9.1.29.00;  CONTROLE MATERIAIS DE CONSUMO REQU    ;          347.391,26 ;D
7.9.9.9.1.30.00;  CONTROLE DE VALORES DE TERCEIROS -    ;   14.243.768.267,16 ;D
7.9.9.9.1.32.01;  VALOR AUTORIZADO A CAPTAR             ;        4.900.835,00 ;D
7.9.9.9.1.32.02;  VALOR CAPTADO                         ;        2.217.093,96 ;D
7.9.9.9.1.32.03;  VALOR RENUNCIAVEL                     ;        2.129.487,96 ;D
7.9.9.9.1.35.00;  CONTROLE DE VALORES GLOSADOS          ;        1.910.006,03 ;D
7.9.9.9.1.36.00;  CONTROLE DE PROGRAMACAO ORCAMENTAR    ;  541.717.276.064,89 ;D
7.9.9.9.1.37.00;  CONTROLE DE VALORES EM CONSIGNACAO    ;          515.918,07 ;D
7.9.9.9.1.39.00;  CONTROLE DE ESTOQUE DA DIVIDA MOBI    ;7.633.369.675.725,36 ;D
7.9.9.9.1.41.00;  CONTROLE DE ESTOQUE DA DIVIDA CONT    ;   31.612.856.663,30 ;D
7.9.9.9.1.43.00;  DIVIDA ATIVA - CONTROLE POR TIPO D    ;       12.454.546,02 ;D
7.9.9.9.1.44.00;  CONTROLE DE PGTO DE NATUREZA ORCAM    ;1.436.815.990.013,67 ;D
7.9.9.9.1.45.00;  BENS IMOVEIS DESTINADOS À REFORMA     ;  222.431.841.833,22 ;D
7.9.9.9.1.46.00;  CONTROLE CRED TRIB COM EXIGIBILIDA    ;1.999.269.148.454,31 ;D
7.9.9.9.1.47.00;  PASSIVOS FINANCEIROS ORIGINADOS DO    ;        7.023.064,93 ;D
7.9.9.9.1.48.01;  ATIVOS DAU CLASSE A - CRED TRIBUT.    ;  228.834.829.020,93 ;D
7.9.9.9.1.48.02;  ATIVOS DAU CLASSE B - CRED.TRIBUT.    ;  482.129.047.700,60 ;D
7.9.9.9.1.48.03;  ATIVOS CONTING. DAU CL.C-CRED.TRIB    ;  230.803.838.463,90 ;D
7.9.9.9.1.48.04;  ATIVOS CONTING.DAU CL.D-CRED.TRIBU    ;1.028.929.497.579,42 ;D
7.9.9.9.1.48.05;  ATIVOS  DAU CLASSE A - CRED PREV.     ;   48.368.264.613,05 ;D
7.9.9.9.1.48.06;  ATIVOS  DAU CLASSE B - CRED PREV.     ;  187.719.848.428,29 ;D
7.9.9.9.1.48.07;  ATIVOS CONTING. DAU CLASSE C - CRE    ;  124.554.598.614,90 ;D
7.9.9.9.1.48.08;  ATIVOS CONTING. DAU CLASSE D - CRE    ;  281.996.224.023,98 ;D
7.9.9.9.1.48.09;  ATIVOS DAU CLASSE A - CRED NAO TRI    ;    3.642.584.339,80 ;D
7.9.9.9.1.48.10;  ATIVOS DAU CLASSE B - CRED.NAO TRI    ;   12.115.007.064,43 ;D
7.9.9.9.1.48.11;  ATIVOS CONTING. DAU CL.C-CRED.NAO     ;    7.499.025.910,86 ;D
7.9.9.9.1.48.12;  ATIVOS CONTING.DAU CL.D-CRED.NAO T    ;   73.398.626.423,47 ;D
7.9.9.9.1.48.13;  ATIVOS CONTING.DAU CLAS 'C' CRED.P    ;                0,00 ; 
7.9.9.9.1.48.14;  ATIVOS CONTING.DAU CLAS 'D' CRED.P    ;                0,00 ; 
7.9.9.9.1.48.15;  ATIV.CONTING.DAU CLAS 'C' CRED.PIS    ;                0,00 ; 
7.9.9.9.1.48.16;  ATIV.CONTING.DAU CLAS 'D' CRED.PIS    ;                0,00 ; 
7.9.9.9.1.49.01;  ATIVOS CONTINGENTES PREVISTOS         ;   66.263.969.423,11 ;D
7.9.9.9.1.51.00;  CONTROLE DE OPERAÇÕES ESPECIAIS -     ;    6.192.797.311,60 ;D
7.9.9.9.1.52.00;  CONTROLE DE OPERAÇÕES ESPECIAIS -     ;    8.188.084.875,33 ;D
7.9.9.9.1.54.00;  CONTROLE DA DÍVIDA MOBILIÁRIA EXTE    ;   60.628.461.860,55 ;D
7.9.9.9.1.55.00;  CONTROLE DA DÍVIDA MOBILIÁRIA INTE    ;  490.870.112.899,08 ;D
7.9.9.9.1.56.00;  CONTROLE DA DÍVIDA CONTRATUAL EXTE    ;    3.905.492.020,94 ;D
7.9.9.9.1.60.00;  CONTROLE DE ENCARGOS (TAXA SELIC)     ;    7.792.696.335,70 ;D
7.9.9.9.1.61.00;  DIVIDA MOBILIARIA INTERNA - TRANSF    ;    8.018.459.150,70 ;D
7.9.9.9.1.62.00;  CONTROLE DE TRANSFERENCIAS CONSTIT    ;        3.157.263,68 ;D
7.9.9.9.1.63.00;  PAGAMENTO DE GARANTIAS - LC 173/20    ;           90.848,82 ;D
7.9.9.9.1.65.00;  CONTROLE DE REMUNERACAO DA CONTA U    ;   61.901.883.228,06 ;D
7.9.9.9.1.66.00;  CONTROLE CREDITOS TRIBUTARIOS DESR    ;    5.581.514.792,51 ;D
7.9.9.9.1.69.01;  ATIVOS CONTING.DAU CLAS 'C' CRED.P    ;  124.554.598.614,90 ;D
7.9.9.9.1.69.02;  ATIVOS CONTING.DAU CLAS 'D' CRED.P    ;  281.996.224.023,98 ;D
7.9.9.9.1.69.03;  ATIV.CONTING.DAU CLAS 'C' CRED.PIS    ;   13.158.949.022,20 ;D
7.9.9.9.1.69.04;  ATIV.CONTING.DAU CLAS 'D' CRED.PIS    ;   56.800.286.804,86 ;D
7.9.9.9.2.01.01;   BENS DE ESTOQUE A RECEBER            ;    1.109.896.541,45 ;D
7.9.9.9.2.01.02;   BENS DE ESTOQUE ENVIADOS             ;    1.185.085.988,75 ;D
7.9.9.9.2.02.01;   BENS MOVEIS A RECEBER                ;    1.080.081.761,81 ;D
7.9.9.9.2.02.02;   BENS MOVEIS ENVIADOS                 ;    1.139.546.037,91 ;D
7.9.9.9.2.03.01;   TITULOS E VALORES                    ;      370.057.185,24 ;D
7.9.9.9.2.03.02;   CHEQUES DEVOLVIDOS                   ;          113.186,44 ;D
7.9.9.9.3.01.00;   IMPORTACOES DE MATERIAIS             ;   15.039.361.348,72 ;D
7.9.9.9.3.02.00;   IMPORTACOES DE BENS                  ;   14.094.606.626,83 ;D
7.9.9.9.6.00.00;   CREDORES - COMPRAS CENTRALIZADAS     ;      364.353.241,01 ;D
7.9.9.9.9.00.00;   DIVERSOS CONTROLES                   ;    3.895.756.922,03 ;D
8.1.1.1.1.01.01;  AVAIS A EXECUTAR                      ;      258.315.438,07 ;C
8.1.1.1.1.01.02;  AVAIS EM EXECUCAO                     ;        7.530.669,92 ;C
8.1.1.1.1.01.03;  AVAIS EXECUTADOS                      ;            1.120,95 ;C
8.1.1.1.1.01.04;  FIANCAS A EXECUTAR                    ;    7.157.190.971,12 ;C
8.1.1.1.1.01.05;  FIANCAS EM EXECUCAO                   ;        5.644.774,79 ;C
8.1.1.1.1.01.07;  HIPOTECAS A EXECUTAR                  ;    1.799.823.323,35 ;C
8.1.1.1.1.01.10;  SEGUROS-GARANTIA A EXECUTAR           ;   41.341.111.183,29 ;C
8.1.1.1.1.01.11;  SEGUROS-GARANTIA EM EXECUCAO          ;       90.744.211,16 ;C
8.1.1.1.1.01.12;  SEGUROS-GARANTIA EXECUTADAS           ;           92.306,06 ;C
8.1.1.1.1.01.13;  CAUCAO A EXECUTAR                     ;  156.980.726.300,04 ;C
8.1.1.1.1.01.14;  CAUCAO EM EXECUCAO                    ;        1.903.611,44 ;C
8.1.1.1.1.01.16;  GARANTIAS INSTITUIDAS POR LEI ESP.    ;    4.566.465.709,13 ;C
8.1.1.1.1.01.19;  GARANTIAS DA DIVIDA PUBLICA A EXEC    ;    1.565.709.431,22 ;C
8.1.1.1.1.01.22;  APOLICES DE SEGUROS A EXECUTAR        ;    3.772.743.848,08 ;C
8.1.1.1.1.01.23;  APOLICES DE SEGUROS EM EXECUCAO       ;       41.629.175,04 ;C
8.1.1.1.1.01.25;  OUTRAS GARANTIAS RECEBIDAS NO PAIS    ;   14.857.685.923,28 ;C
8.1.1.1.1.02.01;  AVAIS A EXECUTAR                      ;        1.338.224,79 ;C
8.1.1.1.1.02.04;  FIANCAS A EXECUTAR                    ;    4.407.735.169,85 ;C
8.1.1.1.1.02.05;  FIANCAS EM EXECUCAO                   ;           12.927,02 ;C
8.1.1.1.1.02.10;  SEGUROS-GARANTIA A EXECUTAR           ;    4.146.806.961,11 ;C
8.1.1.1.1.02.13;  CAUCAO A EXECUTAR                     ;       31.354.845,21 ;C
8.1.1.1.1.02.22;  APOLICES DE SEGUROS A EXECUTAR        ;          771.411,13 ;C
8.1.1.1.1.03.04;  CONTRAGARANTIAS SOBRE FIANCAS CONC    ;  104.310.473.970,96 ;C
8.1.1.1.1.04.04;  CONTRAGARANTIAS SOBRE FIANCAS CONC    ;  148.814.046.483,10 ;C
8.1.1.1.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,12 ;C
8.1.1.1.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,17 ;D
8.1.1.1.2.01.04;  FIANCAS A EXECUTAR                    ;          112.212,65 ;C
8.1.1.1.2.01.10;  SEGUROS-GARANTIA A EXECUTAR           ;          325.827,08 ;C
8.1.1.1.2.01.11;  SEGUROS-GARANTIA EM EXECUCAO          ;          302.188,30 ;C
8.1.1.1.2.01.13;  CAUCAO A EXECUTAR                     ;              738,93 ;C
8.1.1.1.2.01.14;  CAUCAO EM EXECUCAO                    ;            2.370,03 ;C
8.1.1.1.2.01.16;  GARANTIAS INSTITUIDAS POR LEI ESP.    ;           19.669,76 ;C
8.1.1.1.2.01.22;  APOLICES DE SEGUROS A EXECUTAR        ;          773.625,57 ;C
8.1.1.1.4.01.13;  CAUCAO A EXECUTAR                     ;            4.500,00 ;C
8.1.1.1.4.01.19;  GARANTIAS DA DIVIDA PUBLICA A EXEC    ;    1.757.903.640,69 ;C
8.1.1.1.5.01.13;  CAUCAO A EXECUTAR                     ;            4.791,89 ;C
8.1.1.1.5.01.19;  GARANTIAS DA DIVIDA PUBLICA A EXEC    ;      227.842.720,64 ;C
8.1.1.2.1.01.01;  CONVENIOS E INSTRUMENTOS CONGENERE    ;    5.114.841.201,50 ;C
8.1.1.2.1.01.02;  CONVENIOS E INSTRUM CONGENERES A C    ;      578.711.409,83 ;C
8.1.1.2.1.01.03;  CONVENIOS E INSTRUMENTOS CONGENERE    ;      897.050.997,79 ;C
8.1.1.2.1.01.04;  CONVENIOS E INSTRUMENTOS CONGENERE    ;    5.212.883.590,08 ;C
8.1.1.2.1.01.05;  CONVENIOS E INSTRUM CONGENERES IMP    ;          153.677,40 ;C
8.1.1.2.1.01.06;  CONVENIOS E INSTR. CONG. EM INADIM    ;       12.655.542,29 ;C
8.1.1.2.1.01.07;  CONVENIOS E INST. CONGE. EM INADIM    ;       41.169.549,99 ;C
8.1.1.2.1.01.09;  CONVENIOS E INSTRUM CONGENERES NAO    ;       13.399.630,94 ;C
8.1.1.2.1.01.11;  CONVENIOS E INSTRUM CONGENERES CON    ;        8.820.172,21 ;C
8.1.1.2.1.02.01;  A RECEBER                             ;   71.548.440.406,89 ;C
8.1.1.2.1.02.02;  A COMPROVAR                           ;  130.455.904.783,41 ;C
8.1.1.2.1.02.03;  COMPROVADO                            ;   63.132.213.406,68 ;C
8.1.1.2.1.02.05;  APROVADO                              ;                0,00 ; 
8.1.1.2.1.02.06;  VALOR NAO RECEBIDO/DEVOLVIDO          ;      431.424.313,71 ;C
8.1.1.2.1.02.09;  IMPUGNADO                             ;          100.000,00 ;C
8.1.1.2.1.02.10;  EXTINTO                               ;          719.769,62 ;C
8.1.1.2.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.1.1.2.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.1.1.3.1.01.01;  CONTRATOS DE SEGUROS EM EXECUCAO      ;       38.698.411,41 ;C
8.1.1.3.1.02.01;  CONTRATOS DE SERVICOS EM EXECUCAO     ;   13.856.387.125,54 ;C
8.1.1.3.1.02.02;  CONTRATO DE SERVICOS EXECUTADOS       ;       21.196.940,29 ;C
8.1.1.3.1.03.01;  CONTRATOS DE ALUGUEIS EM EXECUCAO     ;    3.035.374.338,39 ;C
8.1.1.3.1.03.02;  CONTRATOS DE ALUGUEIS EXECUTADOS      ;      229.883.872,57 ;C
8.1.1.3.1.04.01;  CONTRATOS DE FORNECIMENTO DE BENS     ;      292.445.951,76 ;C
8.1.1.3.1.04.02;  CONTRATOS DE FORNECIMENTO DE BENS     ;          818.888,61 ;C
8.1.1.3.1.05.01;  CONTRATOS DE EMPRÉSTIMOS EM EXECUÇ    ;       39.239.133,15 ;C
8.1.1.3.1.06.02;  CONTRATOS RECEBIDOS                   ;   59.763.674.394,61 ;C
8.1.1.3.1.06.03;  CONTRATOS AMORTIZADOS                 ;    2.920.425.511,70 ;C
8.1.1.3.1.06.04;  JUROS APROPRIADOS                     ;      101.266.186,95 ;C
8.1.1.3.1.06.05;  JUROS PAGOS                           ;        1.792.369,09 ;C
8.1.1.3.1.06.07;  ENCARGOS PAGOS                        ;          757.414,32 ;C
8.1.1.3.1.07.01;  CONTRATOS A RECEBER                   ;   32.435.046.467,03 ;C
8.1.1.3.1.07.02;  CONTRATOS  RECEBIDOS                  ;   30.978.749.565,92 ;C
8.1.1.3.1.07.03;  CONTRATOS AMORTIZADOS                 ;      217.234.373,72 ;C
8.1.1.3.1.07.04;  JUROS APROPRIADOS                     ;      240.320.609,78 ;C
8.1.1.3.1.07.05;  JUROS PAGOS                           ;      203.636.800,13 ;C
8.1.1.3.1.07.06;  ENCARGOS APROPRIADOS                  ;                0,00 ; 
8.1.1.3.1.07.07;  ENCARGOS PAGOS                        ;       48.747.480,60 ;C
8.1.1.3.1.08.01;  TERMOS/ACORDOS COOPERACAO COM INST    ;    1.296.076.695,17 ;C
8.1.1.3.1.08.02;  TERMOS/ACORDOS P/FORNECIM. DE BENS    ;       26.374.453,95 ;C
8.1.1.3.1.08.03;  TERMOS/ACORDOS DE COOPERACAO EXECU    ;      278.033.927,79 ;C
8.1.1.3.1.09.01;  CONT.DE SERV. C/CONT. POR PC OU RC    ;      161.798.679,02 ;C
8.1.1.3.1.09.02;  CONT DE SERV COM CONTR POR PC OU R    ;        2.145.144,22 ;C
8.1.1.3.1.10.01;  CONT.DE ALUG. C/CONT. POR PC OU RC    ;          110.750,05 ;C
8.1.1.3.1.10.02;  CONT DE ALUG COM CONTR POR PC OU R    ;           55.705,95 ;C
8.1.1.3.1.11.01;  CONTRATO DE RATEIO - EM EXECUCAO      ;        1.316.770,58 ;C
8.1.1.3.1.17.01;  CONTR DE CESSAO DE BENS IMOVEIS -     ;          164.139,70 ;C
8.1.1.3.1.17.02;  CONTR DE CESSAO DE BENS IMOVEIS -     ;                0,00 ; 
8.1.1.3.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.1.1.3.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.1.1.9.1.00.00;  EXEC. DE OUTROS ATOS POT. ATIVOS N    ;      118.866.751,56 ;C
8.1.1.9.8.01.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.1.1.9.8.02.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.1.2.1.1.01.04;  FIANCAS A EXECUTAR                    ;  111.509.726.786,19 ;C
8.1.2.1.1.01.05;  FIANCAS EM EXECUCAO                   ;    6.011.157.052,42 ;C
8.1.2.1.1.01.10;  SEGUROS-GARANTIA A EXECUTAR           ;   20.559.519.699,73 ;C
8.1.2.1.1.02.04;  FIANCAS A EXECUTAR                    ;  165.489.905.381,38 ;C
8.1.2.1.1.03.01;  CONTRAGARANTIAS SOBRE AVAIS REC. A    ;        1.588.057,18 ;C
8.1.2.1.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.1.2.1.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.1.2.2.1.01.01;  CONVENIOS E INSTRUM CONGENERES A L    ;   63.052.653.729,19 ;C
8.1.2.2.1.01.02;  CONVENIOS E INSTRUM CONGENERES A C    ;   82.528.035.945,91 ;C
8.1.2.2.1.01.03;  CONVENIOS E INSTRUM CONGENERES A A    ;   34.591.101.874,12 ;C
8.1.2.2.1.01.04;  CONVENIOS E INSTRUM CONGENERES APR    ;   49.407.750.438,23 ;C
8.1.2.2.1.01.05;  CONVENIOS E INSTRUM CONGENERES IMP    ;    2.321.135.486,33 ;C
8.1.2.2.1.01.06;  CONVENIO E INSTR CONGENER EM INADI    ;    4.470.587.580,96 ;C
8.1.2.2.1.01.07;  CONVENIO E INSTR CONGENER EM INADI    ;    6.771.699.221,17 ;C
8.1.2.2.1.01.08;  CONVENIOS E INSTRUM CONGENERES CAN    ;          535.376,73 ;C
8.1.2.2.1.01.09;  CONV E INSTRUM CONGEN NAO LIBERADO    ;      965.817.836,63 ;C
8.1.2.2.1.01.10;  CONVENIOS E INSTRUM CONGENERES ARQ    ;       21.977.681,02 ;C
8.1.2.2.1.01.11;  CONVENIOS E INSTRUM CONGENERES CON    ;    2.614.522.301,05 ;C
8.1.2.2.1.02.01;  A REPASSAR                            ;   71.548.406.230,85 ;C
8.1.2.2.1.02.02;  A COMPROVAR                           ;  130.455.904.783,41 ;C
8.1.2.2.1.02.03;  COMPROVADO                            ;   63.132.247.582,72 ;C
8.1.2.2.1.02.05;  APROVADO                              ;                0,00 ; 
8.1.2.2.1.02.06;  VALOR NAO REPASSADO/DEVOLVIDO         ;      431.424.313,71 ;C
8.1.2.2.1.02.09;  IMPUGNADO                             ;          100.000,00 ;C
8.1.2.2.1.02.10;  EXTINTO                               ;          719.769,62 ;C
8.1.2.2.1.03.05;  CONTR.REPASSE DE PROGR. A APROVAR     ;       83.572.331,19 ;C
8.1.2.2.1.03.06;  CONTR.REPASSE DE PROGR. A APROVAR     ;       45.146.768,26 ;C
8.1.2.2.1.03.11;  CONTR.REPASSE DE PROGR. INADIMPLEN    ;       18.661.970,42 ;C
8.1.2.2.1.03.12;  CONTR.REPASSE DE PROGR. INADIMPLEN    ;       18.771.678,70 ;C
8.1.2.2.1.04.01;  A LIBERAR                             ;        5.693.032,74 ;C
8.1.2.2.1.04.02;  A COMPROVAR                           ;        6.928.914,15 ;C
8.1.2.2.1.04.03;  A APROVAR                             ;       45.247.396,76 ;C
8.1.2.2.1.04.04;  APROVADO                              ;        3.160.182,78 ;C
8.1.2.2.1.04.06;  INADIMPLENCIA                         ;          887.046,56 ;C
8.1.2.2.1.04.07;  CANCELADO                             ;        1.178.046,06 ;C
8.1.2.2.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,03 ;C
8.1.2.2.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,03 ;D
8.1.2.3.1.01.01;  CONTRATOS DE SEGUROS EM EXECUÇÃO      ;      495.563.424,38 ;C
8.1.2.3.1.01.02;  CONTRATOS DE SEGUROS EXECUTADOS       ;       43.162.990,56 ;C
8.1.2.3.1.02.01;  CONTRATOS DE SERVICOS EM EXECUÇÃO     ;  125.882.123.538,52 ;C
8.1.2.3.1.02.02;  CONTRATOS DE SERVICOS EXECUTADOS      ;   12.044.236.784,25 ;C
8.1.2.3.1.03.01;  CONTRATOS DE ALUGUEIS EM EXECUÇÃO     ;    3.156.832.952,41 ;C
8.1.2.3.1.03.02;  CONTRATOS DE ALUGUEIS EXECUTADOS      ;      339.943.836,13 ;C
8.1.2.3.1.04.01;  CONTRATOS DE FORNECIMENTO DE BENS     ;  102.957.467.158,06 ;C
8.1.2.3.1.04.02;  CONTRATOS DE FORNECIMENTO DE BENS     ;    9.791.112.970,70 ;C
8.1.2.3.1.05.01;  CONTRATOS DE EMPRESTIMO/FINANCIAME    ;    1.479.298.392,97 ;C
8.1.2.3.1.05.02;  CONTRATOS DE EMPREST/FINANCIAMENTO    ;      833.546.687,27 ;C
8.1.2.3.1.06.01;  CONTRATOS A LIBERAR                   ;      788.475.453,26 ;C
8.1.2.3.1.06.02;  EMPRESTIMOS LIBERADOS                 ;      514.500.000,00 ;C
8.1.2.3.1.06.03;  EMPRESTIMOS LIBERADOS - RP            ;       11.565.759,47 ;C
8.1.2.3.1.07.01;  OPERACOES C/ BENS E SERVICOS NO EX    ;       10.678.650,04 ;C
8.1.2.3.1.08.01;  CONT.DE SEGUROS COM CONT.POR PC OU    ;          844.082,35 ;C
8.1.2.3.1.08.02;  CONT DE SEG. C/ CONT. POR PC OU RC    ;          340.222,36 ;C
8.1.2.3.1.09.01;  CONT.DE SERV. C/CONT. POR PC OU RC    ;    5.319.832.749,49 ;C
8.1.2.3.1.09.02;  CONT DE SERV COM CONTR POR PC OU R    ;      775.108.512,57 ;C
8.1.2.3.1.10.01;  DE ALUGUEIS COM CONTROLE POR PC OU    ;      597.874.116,05 ;C
8.1.2.3.1.10.02;  CONTR ALUGUEL C/ CONTR POR PC OU R    ;       53.831.030,77 ;C
8.1.2.3.1.11.01;  DE FORNECIMENTO DE BENS COM CONTRO    ;      289.810.650,17 ;C
8.1.2.3.1.11.02;  CONTR DE FORNEC DE BENS COM CONTR     ;       28.768.891,30 ;C
8.1.2.3.1.12.01;  CONTRATOS DE GESTAO A LIQUIDAR        ;      127.513.120,10 ;C
8.1.2.3.1.12.02;  CONTRATOS DE GESTAO LIQUIDADOS        ;    3.857.761.673,19 ;C
8.1.2.3.1.13.01;  A LIBERAR                             ;      110.660.560,39 ;C
8.1.2.3.1.13.02;  A COMPROVAR                           ;    1.229.058.413,88 ;C
8.1.2.3.1.13.03;  COMPROVADO                            ;      495.726.406,35 ;C
8.1.2.3.1.13.04;  CONCLUIDO                             ;       67.817.740,40 ;C
8.1.2.3.1.14.01;  DE OPERACOES DE CREDITO EM EXECUÇÃ    ;    5.931.257.138,56 ;C
8.1.2.3.1.15.01;  CAP A INTEGRALIZAR EM ORG INTER EM    ;    3.100.557.105,14 ;C
8.1.2.3.1.15.02;  CAPITAL A INTEGRALIZAR EM ORG INTE    ;       66.374.194,00 ;C
8.1.2.3.1.17.01;  CONTR DE CESSAO DE BENS IMOVEIS -     ;          164.139,70 ;C
8.1.2.3.1.98.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                2,53 ;C
8.1.2.3.1.98.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                2,63 ;D
8.1.2.9.1.01.00;  VALORES GARANTIAS APROV. NAO LIBER    ;    3.147.116.691,82 ;C
8.1.2.9.8.01.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
8.1.2.9.8.02.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
8.2.1.1.1.00.00;  DISP. POR DESTINACAO DE RECURSOS A    ;  823.030.885.329,54 ;C
8.2.1.1.2.00.00;  DDR COMPROMETIDA POR EMPENHO E NAO    ;  862.139.665.076,82 ;C
8.2.1.1.3.00.00;  DDR COMPROMETIDA P/LIQU. E ENT. CO    ;  120.088.771.212,41 ;C
8.2.1.1.4.00.00;  DDR UTILIZADAS POR PGTO. DESP. ORC    ;1.463.978.405.409,63 ;C
8.2.1.1.5.00.00;  DDR COMPROMETIDA POR PF OU ARREC.     ;  173.644.489.523,60 ;C
8.2.1.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                2,29 ;C
8.2.1.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                2,26 ;D
8.2.2.1.1.01.00;  LIBERACAO DE COTA A PROGRAMAR         ;3.099.623.224.709,11 ;C
8.2.2.1.1.02.01;  LIBERACAO DE COTA SOLICITADA A APR    ;    4.832.089.972,10 ;C
8.2.2.1.1.02.02;  LIBERACAO DE COTA SOLICITADA A REM    ;        6.358.698,52 ;C
8.2.2.1.1.03.00;  COTA APROVADA A LIBERAR               ;                0,00 ; 
8.2.2.1.1.04.00;  COTA LIBERADA                         ;1.399.631.335.568,69 ;C
8.2.2.1.1.05.00;  COTA LIBERADA DIFERIDA                ;   52.359.519.303,20 ;C
8.2.2.1.1.06.00;  COTA LIBERADA A REMANEJAR             ;        6.358.698,52 ;C
8.2.2.1.1.08.00;  COTA LIBERADA POR DOCUMENTOS ELETR    ;   25.804.110.624,00 ;C
8.2.2.1.1.09.00;  COTA LIBERADA DIRETAMENTE ARRECADA    ;    2.403.081.746,30 ;C
8.2.2.1.1.10.00;  COTA LIBERADA INDISPONIVEL            ;   57.632.875.325,56 ;C
8.2.2.1.2.01.00;  LIBERACAO DE REPASSE A PROGRAMAR      ;1.322.006.054.424,46 ;C
8.2.2.1.2.02.01;  LIBERACAO DE REPASSE SOLICITADA A     ;    2.201.836.319,10 ;C
8.2.2.1.2.02.02;  LIBERACAO DE REPASSE SOLICITADA A     ;                0,00 ; 
8.2.2.1.2.03.00;  REPASSE APROVADO A LIBERAR            ;        4.000.703,00 ;C
8.2.2.1.2.04.00;  REPASSE LIBERADO                      ;  665.922.948.924,89 ;C
8.2.2.1.2.05.00;  REPASSE LIBERADO DIFERIDO             ;   22.792.676.344,24 ;C
8.2.2.1.2.06.00;  REPASSE LIBERADO A REMANEJAR          ;                0,00 ; 
8.2.2.1.2.08.00;  REPASSE LIBERADO POR DOCUMENTOS EL    ;   13.365.369.898,92 ;C
8.2.2.1.2.09.00;  REPASSE LIBERADO DIRETAMENTE ARREC    ;        4.389.997,84 ;C
8.2.2.1.2.10.00;  REPASSE LIBERADO INDISPONIVEL         ;   30.483.516.545,86 ;C
8.2.2.1.2.11.00;  REPASSE LIBERADO TRANSFERIDO          ;   28.923.464.051,69 ;C
8.2.2.1.2.12.01;  LIBERACAO DE REPASSE A PROGR POR D    ;   57.754.804.830,94 ;C
8.2.2.1.2.12.02;  LIBERACAO DE REPASSE A APROVAR POR    ;        4.955.000,00 ;C
